price,price_date,asin,currency,price_type
9.99,04/25/2020,B07MHXLHLD,$,amazon
9.99,04/26/2020,B07MHXLHLD,$,amazon
9.99,04/27/2020,B07MHXLHLD,$,amazon
9.36,04/28/2020,B07MHXLHLD,$,amazon
9.99,04/29/2020,B07MHXLHLD,$,amazon
8.69,04/30/2020,B07MHXLHLD,$,amazon
8.78,05/01/2020,B07MHXLHLD,$,amazon
9.28,05/02/2020,B07MHXLHLD,$,amazon
8.98,05/03/2020,B07MHXLHLD,$,amazon
8.78,05/04/2020,B07MHXLHLD,$,amazon
9.89,05/05/2020,B07MHXLHLD,$,amazon
9.44,05/06/2020,B07MHXLHLD,$,amazon
9.78,05/07/2020,B07MHXLHLD,$,amazon
9.68,05/08/2020,B07MHXLHLD,$,amazon
9.1,05/09/2020,B07MHXLHLD,$,amazon
8.98,05/10/2020,B07MHXLHLD,$,amazon
9.99,05/11/2020,B07MHXLHLD,$,amazon
9.99,05/12/2020,B07MHXLHLD,$,amazon
9.99,05/13/2020,B07MHXLHLD,$,amazon
9.99,05/14/2020,B07MHXLHLD,$,amazon
9.99,05/15/2020,B07MHXLHLD,$,amazon
9.99,05/16/2020,B07MHXLHLD,$,amazon
9.99,05/17/2020,B07MHXLHLD,$,amazon
9.99,05/18/2020,B07MHXLHLD,$,amazon
9.99,05/19/2020,B07MHXLHLD,$,amazon
9.99,05/20/2020,B07MHXLHLD,$,amazon
8.78,05/21/2020,B07MHXLHLD,$,amazon
8.78,05/22/2020,B07MHXLHLD,$,amazon
8.78,05/23/2020,B07MHXLHLD,$,amazon
8.78,05/24/2020,B07MHXLHLD,$,amazon
8.78,05/25/2020,B07MHXLHLD,$,amazon
9.99,05/26/2020,B07MHXLHLD,$,amazon
9.99,05/27/2020,B07MHXLHLD,$,amazon
9.99,05/28/2020,B07MHXLHLD,$,amazon
9.99,05/29/2020,B07MHXLHLD,$,amazon
9.99,05/30/2020,B07MHXLHLD,$,amazon
9.99,05/31/2020,B07MHXLHLD,$,amazon
9.99,06/01/2020,B07MHXLHLD,$,amazon
9.99,06/02/2020,B07MHXLHLD,$,amazon
9.99,06/03/2020,B07MHXLHLD,$,amazon
9.99,06/04/2020,B07MHXLHLD,$,amazon
9.99,06/05/2020,B07MHXLHLD,$,amazon
9.99,06/06/2020,B07MHXLHLD,$,amazon
9.95,06/07/2020,B07MHXLHLD,$,amazon
9.99,06/08/2020,B07MHXLHLD,$,amazon
9.99,06/09/2020,B07MHXLHLD,$,amazon
9.99,06/10/2020,B07MHXLHLD,$,amazon
9.99,06/11/2020,B07MHXLHLD,$,amazon
9.99,06/12/2020,B07MHXLHLD,$,amazon
9.99,06/13/2020,B07MHXLHLD,$,amazon
9.99,06/14/2020,B07MHXLHLD,$,amazon
9.99,06/15/2020,B07MHXLHLD,$,amazon
9.99,06/16/2020,B07MHXLHLD,$,amazon
9.99,06/17/2020,B07MHXLHLD,$,amazon
9.99,06/18/2020,B07MHXLHLD,$,amazon
9.99,06/19/2020,B07MHXLHLD,$,amazon
9.99,06/20/2020,B07MHXLHLD,$,amazon
9.99,06/21/2020,B07MHXLHLD,$,amazon
9.99,06/22/2020,B07MHXLHLD,$,amazon
9.99,06/23/2020,B07MHXLHLD,$,amazon
9.99,06/24/2020,B07MHXLHLD,$,amazon
9.99,06/25/2020,B07MHXLHLD,$,amazon
9.99,06/26/2020,B07MHXLHLD,$,amazon
9.99,06/27/2020,B07MHXLHLD,$,amazon
9.99,06/28/2020,B07MHXLHLD,$,amazon
9.99,06/29/2020,B07MHXLHLD,$,amazon
9.99,06/30/2020,B07MHXLHLD,$,amazon
9.99,07/01/2020,B07MHXLHLD,$,amazon
9.99,07/02/2020,B07MHXLHLD,$,amazon
9.99,07/03/2020,B07MHXLHLD,$,amazon
9.99,07/04/2020,B07MHXLHLD,$,amazon
9.99,07/05/2020,B07MHXLHLD,$,amazon
9.99,07/06/2020,B07MHXLHLD,$,amazon
9.99,07/07/2020,B07MHXLHLD,$,amazon
9.99,07/08/2020,B07MHXLHLD,$,amazon
9.99,07/09/2020,B07MHXLHLD,$,amazon
9.99,07/10/2020,B07MHXLHLD,$,amazon
9.99,07/11/2020,B07MHXLHLD,$,amazon
9.99,07/12/2020,B07MHXLHLD,$,amazon
9.99,07/13/2020,B07MHXLHLD,$,amazon
9.99,07/14/2020,B07MHXLHLD,$,amazon
9.99,07/15/2020,B07MHXLHLD,$,amazon
9.99,07/16/2020,B07MHXLHLD,$,amazon
9.99,07/17/2020,B07MHXLHLD,$,amazon
9.99,07/18/2020,B07MHXLHLD,$,amazon
9.99,07/19/2020,B07MHXLHLD,$,amazon
9.99,07/20/2020,B07MHXLHLD,$,amazon
9.99,07/21/2020,B07MHXLHLD,$,amazon
9.99,07/22/2020,B07MHXLHLD,$,amazon
9.99,07/23/2020,B07MHXLHLD,$,amazon
9.99,07/24/2020,B07MHXLHLD,$,amazon
9.99,07/25/2020,B07MHXLHLD,$,amazon
9.99,07/26/2020,B07MHXLHLD,$,amazon
9.99,07/27/2020,B07MHXLHLD,$,amazon
9.99,07/28/2020,B07MHXLHLD,$,amazon
9.99,07/29/2020,B07MHXLHLD,$,amazon
9.99,07/30/2020,B07MHXLHLD,$,amazon
9.99,07/31/2020,B07MHXLHLD,$,amazon
9.99,08/01/2020,B07MHXLHLD,$,amazon
9.99,08/02/2020,B07MHXLHLD,$,amazon
9.99,08/03/2020,B07MHXLHLD,$,amazon
9.99,08/04/2020,B07MHXLHLD,$,amazon
9.99,08/05/2020,B07MHXLHLD,$,amazon
9.99,08/06/2020,B07MHXLHLD,$,amazon
9.99,08/07/2020,B07MHXLHLD,$,amazon
9.99,08/08/2020,B07MHXLHLD,$,amazon
9.99,08/09/2020,B07MHXLHLD,$,amazon
9.99,08/10/2020,B07MHXLHLD,$,amazon
9.99,08/11/2020,B07MHXLHLD,$,amazon
9.99,08/12/2020,B07MHXLHLD,$,amazon
9.99,08/13/2020,B07MHXLHLD,$,amazon
9.99,08/14/2020,B07MHXLHLD,$,amazon
9.99,08/15/2020,B07MHXLHLD,$,amazon
9.99,08/16/2020,B07MHXLHLD,$,amazon
9.99,08/17/2020,B07MHXLHLD,$,amazon
9.99,08/18/2020,B07MHXLHLD,$,amazon
9.99,08/19/2020,B07MHXLHLD,$,amazon
9.99,08/20/2020,B07MHXLHLD,$,amazon
9.99,08/21/2020,B07MHXLHLD,$,amazon
9.99,08/22/2020,B07MHXLHLD,$,amazon
9.99,08/23/2020,B07MHXLHLD,$,amazon
9.99,08/24/2020,B07MHXLHLD,$,amazon
9.99,08/25/2020,B07MHXLHLD,$,amazon
9.99,08/26/2020,B07MHXLHLD,$,amazon
12.93,08/27/2020,B07MHXLHLD,$,amazon
12.93,08/28/2020,B07MHXLHLD,$,amazon
12.93,08/29/2020,B07MHXLHLD,$,amazon
12.93,08/30/2020,B07MHXLHLD,$,amazon
12.93,08/31/2020,B07MHXLHLD,$,amazon
12.93,09/01/2020,B07MHXLHLD,$,amazon
12.93,09/02/2020,B07MHXLHLD,$,amazon
12.93,09/03/2020,B07MHXLHLD,$,amazon
12.93,09/04/2020,B07MHXLHLD,$,amazon
12.93,09/05/2020,B07MHXLHLD,$,amazon
12.93,09/06/2020,B07MHXLHLD,$,amazon
12.93,09/07/2020,B07MHXLHLD,$,amazon
12.93,09/08/2020,B07MHXLHLD,$,amazon
12.93,09/09/2020,B07MHXLHLD,$,amazon
12.93,09/10/2020,B07MHXLHLD,$,amazon
12.93,09/11/2020,B07MHXLHLD,$,amazon
12.93,09/12/2020,B07MHXLHLD,$,amazon
12.93,09/13/2020,B07MHXLHLD,$,amazon
12.93,09/14/2020,B07MHXLHLD,$,amazon
12.93,09/15/2020,B07MHXLHLD,$,amazon
12.93,09/16/2020,B07MHXLHLD,$,amazon
12.93,09/17/2020,B07MHXLHLD,$,amazon
12.93,09/18/2020,B07MHXLHLD,$,amazon
12.93,09/19/2020,B07MHXLHLD,$,amazon
12.93,09/20/2020,B07MHXLHLD,$,amazon
12.93,09/21/2020,B07MHXLHLD,$,amazon
12.93,09/22/2020,B07MHXLHLD,$,amazon
12.93,09/23/2020,B07MHXLHLD,$,amazon
12.93,09/24/2020,B07MHXLHLD,$,amazon
12.93,09/25/2020,B07MHXLHLD,$,amazon
12.93,09/26/2020,B07MHXLHLD,$,amazon
12.93,09/27/2020,B07MHXLHLD,$,amazon
12.93,09/28/2020,B07MHXLHLD,$,amazon
12.93,09/29/2020,B07MHXLHLD,$,amazon
12.93,09/30/2020,B07MHXLHLD,$,amazon
10.99,10/01/2020,B07MHXLHLD,$,amazon
10.99,10/02/2020,B07MHXLHLD,$,amazon
10.99,10/03/2020,B07MHXLHLD,$,amazon
10.99,10/04/2020,B07MHXLHLD,$,amazon
10.99,10/05/2020,B07MHXLHLD,$,amazon
10.99,10/06/2020,B07MHXLHLD,$,amazon
10.99,10/07/2020,B07MHXLHLD,$,amazon
10.99,10/08/2020,B07MHXLHLD,$,amazon
8.98,10/09/2020,B07MHXLHLD,$,amazon
12.93,10/10/2020,B07MHXLHLD,$,amazon
12.93,10/11/2020,B07MHXLHLD,$,amazon
12.93,10/12/2020,B07MHXLHLD,$,amazon
